BEGIN: 2016-04-25 03:06:26 -0300
onaryrel,00111,0,0.699281431,1,200
onaryrel,00111,1,0.141978378,1,200
onaryrel,00111,2,0.141816447,11,200
onaryrel,00111,3,0.097654658,1,200
onaryrel,00111,4,0.073681643,1,200
onaryrel,00111,5,0.077352659,1,200
onaryrel,00111,6,0.609587037,277,200
onaryrel,00111,7,0.071151483,1,200
onaryrel,00111,8,0.079943996,1,200
onaryrel,00111,9,0.060398783,2,200
onaryrel,00111,10,0.0421142,1,200
onaryrel,00111,11,0.068481976,1,200
onaryrel,00111,12,0.077843509,1,200
onaryrel,00111,13,0.099191895,7,200
onaryrel,00111,14,0.104049891,1,200
onaryrel,00111,15,0.687013472,1688,200
onaryrel,00111,16,0.036212874,1,200
onaryrel,00111,17,0.15286451,2,200
onaryrel,00111,18,0.054078582,1,200
onaryrel,00111,19,0.046686508,1,200
onaryrel,00111,20,0.067720317,1,200
onaryrel,00111,21,0.048868659,1,200
onaryrel,00111,22,0.036083526,1,200
onaryrel,00111,23,0.068313028,2,200
onaryrel,00111,24,0.040311545,1,200
onaryrel,00111,25,0.048995143,1,200
onaryrel,00111,26,0.048055082,1,200
onaryrel,00111,27,0.036027654,1,200
onaryrel,00111,28,0.040327331,2,200
onaryrel,00111,29,0.034335828,1,200
onaryrel,00111,30,0.248965327,1388,200
onaryrel,00111,31,0.082409505,1,200
onaryrel,00111,32,0.06060719,1,200
onaryrel,00111,33,0.033586208,1,200
onaryrel,00111,34,0.035141443,1,200
onaryrel,00111,35,0.03238867,1,200
onaryrel,00111,36,0.037629832,1,200
onaryrel,00111,37,0.122414769,1,200
onaryrel,00111,38,0.07027017,1,200
onaryrel,00111,39,0.074111671,3,200
onaryrel,00111,40,0.031845206,3,200
onaryrel,00111,41,0.069257125,1,200
onaryrel,00111,42,0.074677939,1,200
onaryrel,00111,43,10.607722764,170,200
onaryrel,00111,44,0.0629942,1,200
onaryrel,00111,45,0.046970102,16,200
onaryrel,00111,46,38.445380827,286,200
onaryrel,00111,47,0.054728801,114,200
onaryrel,00111,48,0.028781603,1,200
onaryrel,00111,49,0.061023584,1,200
onaryrel,00111,50,0.027653057,1,200
onaryrel,00111,51,0.363417548,5,200
onaryrel,00111,52,0.028244917,1,200
onaryrel,00111,53,0.110351418,1,200
onaryrel,00111,54,0.042303258,2,200
onaryrel,00111,55,0.036172931,1,200
onaryrel,00111,56,0.036564645,1,200
onaryrel,00111,57,0.051484376,1,200
onaryrel,00111,58,0.061150907,1,200
onaryrel,00111,59,0.072002001,309,200
onaryrel,00111,60,0.069977031,1,200
onaryrel,00111,61,0.114939392,2,200
onaryrel,00111,62,0.040511384,1,200
onaryrel,00111,63,0.037606778,3,200
onaryrel,00111,64,0.027082599,1,200
onaryrel,00111,65,128.647984845,,timeout
onaryrel,00111,66,120.067252996,,timeout
onaryrel,00111,67,120.118885216,,timeout
onaryrel,00111,68,120.059259383,,timeout
onaryrel,00111,69,120.06264642,,timeout
onaryrel,00111,70,120.111330462,,timeout
onaryrel,00111,71,120.062484906,,timeout
onaryrel,00111,72,120.118961175,,timeout
onaryrel,00111,73,120.11895951,,timeout
onaryrel,00111,74,120.11990756,,timeout
END: 2016-04-25 03:27:31 -0300
