BEGIN: 2016-04-29 23:22:38 -0300
ngraphs,path_2,0,9.141551971,214,200
ngraphs,path_2,1,0.350168253,10,200
ngraphs,path_2,2,179.547691023,,timeout
ngraphs,path_2,3,120.118803828,,timeout
ngraphs,path_2,4,120.073953477,,timeout
ngraphs,path_2,5,120.119669153,,timeout
ngraphs,path_2,6,120.118538503,,timeout
ngraphs,path_2,7,120.118569798,,timeout
ngraphs,path_2,8,120.118555189,,timeout
ngraphs,path_2,9,120.078347073,,timeout
ngraphs,path_2,10,120.05264154,,timeout
ngraphs,path_2,11,120.110515246,,timeout
END: 2016-04-29 23:43:48 -0300
