?x0 P2239 Q21402571 P636 ?x4
?x0 P39 Q17320547 P1366 ?x4
?x0 P19 Q60 P131 ?x4
?x0 P197 Q2655155 P81 ?x4
?x0 P156 Q820031 P276 ?x4
?x0 P20 Q656 P17 ?x4
?x0 P166 Q35637 P1706 ?x4
?x0 P1038 Q503068 P1039 ?x4
?x0 P816 Q13574979 P817 ?x4
?x0 P684 Q18050695 P703 ?x4
?x0 P108 Q752663 P39 ?x4
?x0 P360 Q7366 P175 ?x4
?x0 P39 Q14472169 P1365 ?x4
?x0 P39 Q1225095 P1366 ?x4
?x0 P108 Q752663 P794 ?x4
?x0 P197 Q654980 P81 ?x4
?x0 P39 Q371909 P642 ?x4
?x0 P1343 Q15987216 P248 ?x4
?x0 P31 Q15632617 P27 ?x4
?x0 P161 Q282818 P453 ?x4
?x0 P684 Q18254434 P703 ?x4
?x0 P684 Q18045899 P703 ?x4
?x0 P39 Q707492 P1366 ?x4
?x0 P39 Q3099723 P6 ?x4
?x0 P166 Q898527 P156 ?x4
?x0 P684 Q18296826 P703 ?x4
?x0 P31 Q17362920 P460 ?x4
?x0 P530 Q79 P805 ?x4
?x0 P39 Q16556694 P1366 ?x4
?x0 P179 Q552314 P155 ?x4
?x0 P166 Q1748337 P1346 ?x4
?x0 P1346 Q984528 P642 ?x4
?x0 P360 Q5 P69 ?x4
?x0 P684 Q18038595 P703 ?x4
?x0 P31 Q577 P361 ?x4
?x0 P19 Q62823 P17 ?x4
?x0 P39 Q1538432 P1366 ?x4
?x0 P39 Q1209571 P1366 ?x4
?x0 P725 Q3856870 P179 ?x4
?x0 P559 Q15120837 P560 ?x4
?x0 P816 Q18845178 P817 ?x4
?x0 P816 Q18888662 P817 ?x4
?x0 P1441 Q308035 P794 ?x4
?x0 P684 Q18037212 P703 ?x4
?x0 P462 Q23444 P518 ?x4
?x0 P39 Q13426709 P642 ?x4
?x0 P39 Q18711738 P768 ?x4
?x0 P421 Q6760 P1264 ?x4
?x0 P54 Q621824 P413 ?x4
?x0 P1346 Q312853 P1686 ?x4
?x0 P1343 Q602358 P248 ?x4
?x0 P816 Q18844981 P817 ?x4
?x0 P816 Q2646578 P817 ?x4
?x0 P166 Q4782160 P1346 ?x4
?x0 P684 Q5145895 P703 ?x4
?x0 P108 Q1026827 P39 ?x4
?x0 P39 Q19185575 P1366 ?x4
?x0 P19 Q23240 P17 ?x4
?x0 P684 Q18045726 P703 ?x4
?x0 P19 Q65380 P131 ?x4
?x0 P1057 Q18967861 P1343 ?x4
?x0 P1435 Q1568567 P790 ?x4
?x0 P1038 Q717594 P1039 ?x4
?x0 P1411 Q1011564 P1686 ?x4
?x0 P20 Q33959 P17 ?x4
?x0 P684 Q14912067 P703 ?x4
?x0 P171 Q387893 P678 ?x4
?x0 P2079 Q843958 P518 ?x4
?x0 P179 Q280154 P155 ?x4
?x0 P47 Q110750 P654 ?x4
?x0 P360 Q21503788 P131 ?x4
?x0 P19 Q1001326 P17 ?x4
?x0 P289 Q2037933 P794 ?x4
?x0 P166 Q17403163 P1027 ?x4
?x0 P197 Q579852 P560 ?x4
?x0 P559 Q15733670 P609 ?x4
?x0 P1029 Q240701 P39 ?x4
?x0 P39 Q30185 P642 ?x4
?x0 P1029 Q233795 P39 ?x4
?x0 P461 Q3745417 P1013 ?x4
?x0 P9 Q16603480 P1039 ?x4
?x0 P684 Q18305906 P703 ?x4
?x0 P816 Q2309203 P817 ?x4
?x0 P39 Q15063567 P1366 ?x4
?x0 P609 Q513445 P560 ?x4
?x0 P1343 Q867541 P248 ?x4
?x0 P180 Q497903 P462 ?x4
?x0 P106 Q16533 P131 ?x4
?x0 P684 Q18027041 P703 ?x4
?x0 P179 Q632179 P156 ?x4
?x0 P19 Q175651 P131 ?x4
?x0 P161 Q656035 P453 ?x4
?x0 P684 Q18049573 P703 ?x4
?x0 P39 Q20058666 P768 ?x4
?x0 P39 Q16556694 P768 ?x4
?x0 P463 Q18912936 P794 ?x4
?x0 P39 Q49476 P1365 ?x4
?x0 P684 Q18052526 P703 ?x4
?x0 P20 Q911 P131 ?x4
?x0 P1057 Q18967849 P1343 ?x4
?x0 P816 Q18845167 P817 ?x4
?x0 P684 Q18046477 P703 ?x4
?x0 P747 Q15670114 P156 ?x4
?x0 P684 Q18032663 P703 ?x4
?x0 P1057 Q18967856 P1343 ?x4
?x0 P684 Q17707208 P703 ?x4
?x0 P180 Q200539 P462 ?x4
?x0 P197 Q1969443 P560 ?x4
?x0 P31 Q56019 P155 ?x4
?x0 P684 Q18265337 P703 ?x4
?x0 P2239 Q21010964 P636 ?x4
?x0 P39 Q2386529 P1366 ?x4
?x0 P19 Q1874 P17 ?x4
?x0 P19 Q49227 P17 ?x4
?x0 P360 Q759421 P131 ?x4
?x0 P1346 Q242482 P1686 ?x4
?x0 P197 Q491159 P560 ?x4
?x0 P19 Q216 P131 ?x4
?x0 P197 Q1850417 P81 ?x4
?x0 P684 Q14907773 P703 ?x4
?x0 P197 Q3968831 P81 ?x4
?x0 P19 Q1763 P17 ?x4
?x0 P684 Q18263954 P703 ?x4
?x0 P19 Q649 P131 ?x4
?x0 P1889 Q1359888 P1013 ?x4
?x0 P31 Q253019 P642 ?x4
?x0 P197 Q801234 P81 ?x4
?x0 P301 Q386724 P50 ?x4
?x0 P20 Q9365 P17 ?x4
?x0 P1346 Q40504 P1686 ?x4
?x0 P684 Q18262389 P703 ?x4
?x0 P179 Q2991559 P156 ?x4
?x0 P186 Q10988133 P518 ?x4
