BEGIN: 2016-05-31 15:16:35 -0400
stdreif,path_3_v2,0,120.12289579,,timeout
stdreif,path_3_v2,1,120.116729784,,timeout
stdreif,path_3_v2,2,12.974980552,10000,200
stdreif,path_3_v2,3,3.53631858,34,200
stdreif,path_3_v2,4,120.122843091,,timeout
stdreif,path_3_v2,5,18.552663828,10000,200
stdreif,path_3_v2,6,120.074719799,,timeout
stdreif,path_3_v2,7,1.315883115,1,200
stdreif,path_3_v2,8,4.560045923,10000,200
stdreif,path_3_v2,9,120.053349644,,timeout
stdreif,path_3_v2,10,126.867269602,,timeout
stdreif,path_3_v2,11,120.062922473,,timeout
stdreif,path_3_v2,12,120.085377035,,timeout
stdreif,path_3_v2,13,120.122386142,,timeout
stdreif,path_3_v2,14,120.12237923,,timeout
stdreif,path_3_v2,15,120.122241971,,timeout
stdreif,path_3_v2,16,120.062981124,,timeout
stdreif,path_3_v2,17,120.122529172,,timeout
stdreif,path_3_v2,18,120.08449936,,timeout
END: 2016-05-31 15:45:24 -0400
