Q2157744,P21,Q6581097
Q2157744,P27,Q30
Q2157744,P31,Q5
Q2157744,P106,Q42603
Q2157744,P140,Q9592
Q2157744,P39,Q29182
Q2157744,P735,Q4927937
Q15998178,P31,Q5
Q15998178,P21,Q6581097
Q15998178,P735,Q4642
Q15998178,P39,Q18534408
Q15998178,P106,Q82955
Q15998178,P27,Q408
Q3454392,P19,Q340
Q3454392,P31,Q5
Q3454392,P21,Q6581097
Q3454392,P106,Q2722764
Q3454392,P106,Q245068
Q3454392,P27,Q16
Q3750209,P21,Q6581097
Q3750209,P31,Q5
Q3750209,P19,Q2028
Q3750209,P735,Q2268455
Q3750209,P27,Q38
Q3750209,P106,Q1028181
Q1714827,P21,Q6581097
Q1714827,P20,Q624524
Q1714827,P27,Q183
Q1714827,P31,Q5
Q1714827,P106,Q482980
Q1714827,P106,Q1234713
Q1714827,P735,Q629347
Q1569775,P31,Q3957
Q1569775,P31,Q15221373
Q1569775,P31,Q62049
Q1569775,P17,Q30
Q1569775,P131,Q501587
Q1569775,P1376,Q501587
Q7716068,P31,Q11424
Q7716068,P161,Q459344
Q7716068,P161,Q264004
Q7716068,P161,Q3181682
Q7716068,P161,Q7705631
Q7716068,P161,Q944296
Q7716068,P161,Q205868
Q7716068,P162,Q7823541
Q7716068,P495,Q145
Q7716068,P136,Q200092
Q7716068,P364,Q1860
Q15615094,P31,Q5
Q15615094,P21,Q6581097
Q15615094,P27,Q30
Q15615094,P735,Q605834
Q15615094,P106,Q488205
Q15615094,P1303,Q6607
Q136940,P21,Q6581097
Q136940,P54,Q1422
Q136940,P54,Q10333
Q136940,P54,Q2693
Q136940,P54,Q8639
Q136940,P54,Q180305
Q136940,P54,Q167615
Q136940,P54,Q6641
Q136940,P54,Q2074
Q136940,P54,Q2609
Q136940,P106,Q937857
Q136940,P106,Q2066131
Q136940,P27,Q38
Q136940,P19,Q220
Q136940,P31,Q5
Q136940,P735,Q17520955
Q136940,P641,Q2736
Q2443418,P21,Q6581097
Q2443418,P31,Q5
Q2443418,P106,Q82955
Q2443418,P106,Q482980
Q2443418,P106,Q1930187
Q2443418,P27,Q33
Q2443418,P39,Q17592486
Q2443418,P20,Q649
Q2443418,P735,Q14508216
Q1372599,P21,Q6581097
Q1372599,P31,Q5
Q1372599,P106,Q3014296
Q1372599,P19,Q48320
Q1372599,P27,Q17
Q1372599,P734,Q421683
Q2568410,P106,Q937857
Q2568410,P21,Q6581097
Q2568410,P27,Q41
Q2568410,P172,Q539051
Q2568410,P31,Q5
Q2568410,P19,Q58976
Q2568410,P54,Q19628
Q2568410,P54,Q460494
Q2568410,P54,Q134925
Q2568410,P54,Q219926
Q2568410,P735,Q18978312
Q3750669,P19,Q490
Q3750669,P21,Q6581097
Q3750669,P31,Q5
Q3750669,P735,Q2268455
Q3750669,P27,Q38
Q3750669,P106,Q488205
Q156199,P910,Q18674621
Q156199,P31,Q7275
Q156199,P35,Q77233
Q156199,P155,Q693562
Q156199,P156,Q153015
Q156199,P1343,Q678259
Q5957657,P31,Q7889
Q5957657,P404,Q209075
Q5957657,P404,Q208850
Q5957657,P136,Q868217
Q5957657,P123,Q601299
Q5957657,P86,Q6964549
Q5957657,P400,Q183259
Q14192352,P31,Q5
Q14192352,P21,Q6581097
Q14192352,P27,Q183
Q14192352,P166,Q10905380
Q14192352,P166,Q445673
Q14192352,P735,Q1158570
Q14192352,P106,Q201788
Q14192352,P106,Q36180
Q19648174,P31,Q571
Q19648174,P31,Q1004
Q19648174,P361,Q1035139
Q19648174,P50,Q3806796
Q19648174,P364,Q7979
Q19648174,P136,Q193606
Q19648174,P921,Q154430
Q19648174,P674,Q2663841
Q381088,P21,Q6581097
Q381088,P19,Q849330
Q381088,P20,Q851020
Q381088,P27,Q29
Q381088,P31,Q5
Q381088,P106,Q5322166
Q381088,P735,Q18220000
Q640904,P21,Q6581097
Q640904,P54,Q849544
Q640904,P54,Q1423718
Q640904,P54,Q113000
Q640904,P54,Q216032
Q640904,P54,Q24680
Q640904,P54,Q646079
Q640904,P106,Q937857
Q640904,P31,Q5
Q640904,P27,Q31
Q640904,P19,Q528222
Q640904,P735,Q605834
Q640904,P641,Q2736
Q2833366,P119,Q272208
Q2833366,P21,Q6581097
Q2833366,P31,Q5
Q2833366,P27,Q142
Q2833366,P106,Q483501
Q2833366,P735,Q16002466
Q12200303,P31,Q5
Q12200303,P19,Q1082492
Q12200303,P106,Q33999
Q12200303,P106,Q2405480
Q12200303,P21,Q6581097
Q12200303,P27,Q30
Q12200303,P69,Q1179603
Q12200303,P735,Q19803513
Q670890,P466,Q164177
Q670890,P631,Q7668854
Q670890,P84,Q6530296
Q670890,P131,Q16556
Q670890,P31,Q811979
Q670890,P17,Q30
Q245676,P106,Q937857
Q245676,P21,Q6581097
Q245676,P31,Q5
Q245676,P19,Q2280
Q245676,P27,Q184
Q245676,P735,Q19412810
Q7472775,P196,Q2179
Q7472775,P61,Q735603
Q7472775,P65,Q3138607
Q7472775,P155,Q7472772
Q7472775,P156,Q7472777
Q7472775,P31,Q3863
